Concelho,Pt,Alojamento,Emp,Des,IMD,UM,UI,AFRE,ANFRE,PAE(14-20),PAE(6-16),Area_Km2,DEN_POP
RG,15128,6756,6873,302,35.5,9219,6841,3265,107,8.0,2.3,167.6,90.3
Paul,5770,2242,2514,112,32.8,3528,2536,1151,45,7.1,4.1,55.4,104.2
PN,16052,6985,5836,619,35.1,9641,7249,3824,182,6.6,2.5,561.5,28.6
SV,75845,31904,33274,3423,32.8,51118,44932,15267,663,8.4,2.4,225.1,336.9
RB,6996,3127,3188,126,35.3,4498,3707,1473,56,5.1,4.3,224.9,31.1
TASN,5310,2314,2231,199,29.5,3191,2896,1263,35,7.6,2.3,119.8,44.3
Sal,33615,16826,15673,1820,29.3,22441,21246,7906,331,6.9,2.4,219.6,153.1
BV,12798,6652,5557,668,28.3,8160,7310,2937,136,5.6,2.4,631.3,20.3
Maio,6330,2969,2483,104,27.6,3998,3277,1528,26,6.1,1.5,273.4,23.2
TST,16892,6771,6091,559,28.0,8996,7961,4436,222,7.0,1.6,120.1,140.6
SC,37982,16088,14169,836,32.8,20649,19405,10373,422,5.6,1.6,241.4,157.3
SZ,25152,7857,8683,884,29.6,12028,10224,7188,356,4.5,1.9,108.9,231.0
PR,145378,56580,60873,6089,30.3,91879,86407,35232,1615,7.0,1.9,97.9,1485.0
SD,14051,4263,5284,475,30.2,7800,6314,3917,80,4.5,1.5,148.9,94.4
SM,12966,5620,5168,349,28.3,6617,5999,3506,116,4.4,1.5,76.6,169.3
SSM,7482,2416,2923,211,32.2,3983,3832,2002,103,5.6,1.3,29.4,254.5
SLO,6328,2027,1935,173,28.7,3422,2859,1596,87,5.0,1.5,39.2,161.4
RGST,7757,2443,3199,311,31.8,4243,3705,1943,109,6.6,1.9,139.9,55.4
MO,8084,3891,2697,133,30.5,4359,3933,2063,121,10.1,3.6,84.9,95.2
SF,20927,8635,7087,532,30.9,12287,11002,4937,371,7.4,3.2,231.3,90.5
SCFO,4743,1837,1426,65,29.8,2544,2202,1207,85,9.6,2.6,154.3,30.7
Br,5647,2424,2164,104.0,28.4,3394,3163,1353,65,10.6,6.1,62.6,90.2
